match_id,date,year,league,team_id,teamname,opp_team_id,opp_teamname,side,duration,result,teamkills,oppkills,towers,opp_towers,roshans,opp_roshans,barracks,opp_barracks
8631566619,2026-01-02T00:00:00.000Z,2026,ESL challenger China,9894442,Cloud Dawning,9444076,NGNB,dire,1937,1,43,22,9,1,2,0,5,0
8631566619,2026-01-02T00:00:00.000Z,2026,ESL challenger China,9444076,NGNB,9894442,Cloud Dawning,radiant,1937,0,22,43,1,9,0,2,0,5
8631579986,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10008067,Game Master,9579337,YB.Tearlaments,dire,2523,1,23,23,9,5,2,0,5,0
8631579986,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9579337,YB.Tearlaments,10008067,Game Master,radiant,2523,0,23,23,5,9,0,2,0,5
8631585857,2026-01-02T00:00:00.000Z,2026,ESL challenger China,10014579,American Boy,10008012,Jitsu,dire,3707,1,39,40,12,9,2,2,6,6
8631585857,2026-01-02T00:00:00.000Z,2026,ESL challenger China,10008012,Jitsu,10014579,American Boy,radiant,3707,0,40,39,9,12,2,2,6,6
8631597701,2026-01-02T00:00:00.000Z,2026,Destiny League,8629005,Flawless Goblins,9426115,Dark Rebellion,dire,1881,1,32,30,2,4,1,0,0,0
8631597701,2026-01-02T00:00:00.000Z,2026,Destiny League,9426115,Dark Rebellion,8629005,Flawless Goblins,radiant,1881,0,30,32,4,2,0,1,0,0
8631609599,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9860197,Eye Gaming,9397016,Elite Eclipse,dire,1446,1,38,24,6,1,0,0,0,0
8631609599,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9397016,Elite Eclipse,9860197,Eye Gaming,radiant,1446,0,24,38,1,6,0,0,0,0
8631641455,2026-01-02T00:00:00.000Z,2026,ESL challenger China,10014526,RNG反诈先锋,10014586,NaiLong,dire,1349,0,4,31,1,3,0,0,0,0
8631641455,2026-01-02T00:00:00.000Z,2026,ESL challenger China,10014586,NaiLong,10014526,RNG反诈先锋,radiant,1349,1,31,4,3,1,0,0,0,0
8631642089,2026-01-02T00:00:00.000Z,2026,Destiny League,9814269,Riftwalkers,2443375,Foxy gaming,dire,2033,0,23,40,5,8,0,1,1,4
8631642089,2026-01-02T00:00:00.000Z,2026,Destiny League,2443375,Foxy gaming,9814269,Riftwalkers,radiant,2033,1,40,23,8,5,1,0,4,1
8631688036,2026-01-02T00:00:00.000Z,2026,Destiny League,2443375,Foxy gaming,9814269,Riftwalkers,dire,2462,1,48,37,7,4,0,2,0,0
8631688036,2026-01-02T00:00:00.000Z,2026,Destiny League,9814269,Riftwalkers,2443375,Foxy gaming,radiant,2462,0,37,48,4,7,2,0,0,0
8631693387,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9718665,Eye Gaming,9724428,Shinigami Gaming,dire,2945,1,45,54,9,6,1,1,6,3
8631693387,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9724428,Shinigami Gaming,9718665,Eye Gaming,radiant,2945,0,54,45,6,9,1,1,3,6
8631776424,2026-01-02T00:00:00.000Z,2026,Destiny League,9768002,Lunar Vibes,8629315,Wiser Warriors,dire,1713,0,22,35,3,7,0,1,0,4
8631776424,2026-01-02T00:00:00.000Z,2026,Destiny League,8629315,Wiser Warriors,9768002,Lunar Vibes,radiant,1713,1,35,22,7,3,1,0,4,0
8631792168,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9724428,Shinigami Gaming,9718665,Eye Gaming,dire,1757,0,36,40,1,6,0,1,0,2
8631792168,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9718665,Eye Gaming,9724428,Shinigami Gaming,radiant,1757,1,40,36,6,1,1,0,2,0
8631826160,2026-01-02T00:00:00.000Z,2026,Destiny League,8629315,Wiser Warriors,9768002,Lunar Vibes,dire,1859,0,25,38,4,5,0,1,0,2
8631826160,2026-01-02T00:00:00.000Z,2026,Destiny League,9768002,Lunar Vibes,8629315,Wiser Warriors,radiant,1859,1,38,25,5,4,1,0,2,0
8631882653,2026-01-02T00:00:00.000Z,2026,Destiny League,9768002,Lunar Vibes,8629315,Wiser Warriors,dire,1552,1,33,17,5,2,1,0,2,0
